recno,Symbad_Hyades,PAM_clust,sil_width
4909,FALSE,2,0.053582859668345036
4911,FALSE,2,0.11599715370922879
4913,FALSE,2,0.30011541863620383
4915,FALSE,2,0.022774069418189144
4916,FALSE,2,0.06811961910885606
4921,FALSE,2,0.23096838828729052
4928,FALSE,2,0.30652781005205865
4933,FALSE,2,0.02441009331230457
4934,FALSE,2,0.2523488101951796
4935,FALSE,2,0.21769527438075267
4936,FALSE,2,0.06570852711687747
4940,FALSE,2,0.25879358418636866
4941,FALSE,2,0.2674716074137776
4942,FALSE,2,0.283013554263495
4953,FALSE,2,0.293764655547028
4955,FALSE,2,0.2504578056059652
4961,FALSE,2,0.12589761235320682
4971,FALSE,2,0.30493072469671323
4977,FALSE,2,0.08658929676348005
5250,FALSE,2,0.24512010562230307
5260,FALSE,2,0.04443975202595403
5267,FALSE,2,0.03725252946385135
5268,FALSE,2,0.11375658658379799
5270,FALSE,2,0.1116339540360001
5272,FALSE,2,0.1763448125881502
5312,FALSE,2,0.19626525427438127
5317,FALSE,2,0.07151762987803409
5318,FALSE,2,0.16964005619816142
5319,FALSE,2,0.23157545332131083
5322,FALSE,2,0.09732437773032993
5328,FALSE,2,0.03891030684323722
5329,FALSE,2,0.11518154712157821
5331,FALSE,2,0.29562140708059775
5334,FALSE,2,0.2555597989734873
5335,FALSE,2,0.0026973760020788445
5347,FALSE,2,0.2487770007553679
5387,FALSE,2,0.17820178941093726
5388,FALSE,2,0.1750854852757427
5393,FALSE,2,0.13132468393994107
5395,FALSE,2,0.08461503598796079
5400,FALSE,2,0.29660006851839243
5401,FALSE,2,0.31907871867307575
5402,FALSE,2,0.27012990216841376
5404,FALSE,2,0.050452480974765845
5408,FALSE,2,0.2128302108262403
5416,FALSE,2,0.21897180022667032
5418,FALSE,2,0.0047837989651945195
5425,FALSE,2,0.08228157086639856
5426,FALSE,2,0.1280820659788617
5428,FALSE,2,0.08000215486170195
5438,FALSE,2,0.028373873156430272
5465,FALSE,2,0.14505759470297064
5481,FALSE,2,0.2415707002034798
5493,FALSE,2,0.21107972074413817
5497,FALSE,2,0.12974725327750503
5511,FALSE,2,0.08808788750593248
5512,FALSE,2,0.1958589128834741
5516,FALSE,2,0.0016689872456910277
5517,FALSE,2,0.20892278502131992
5518,FALSE,2,0.0919693061608417
5519,FALSE,2,0.0255355763939939
5520,FALSE,2,0.23716671797568495
5528,FALSE,2,0.05986807960037822
5533,FALSE,2,0.19552159396461563
5534,FALSE,2,0.26904874695255737
5535,FALSE,2,0.01685235796717467
5539,TRUE,2,0.16504791766696253
5540,FALSE,2,0.024362611404331835
5549,FALSE,2,0.09426353663521647
5583,FALSE,2,0.2067141844847809
5586,FALSE,2,0.271987271858881
5589,FALSE,2,0.3053504105089253
5590,FALSE,2,0.3018415308265424
5593,FALSE,2,0.13935467012648198
5594,FALSE,2,0.22188044742942914
5605,FALSE,2,0.22001107883289525
5610,FALSE,2,0.09641605291784935
5611,FALSE,2,0.2967778319217312
5614,FALSE,2,0.18935728737278867
5621,TRUE,2,0.22086897079150444
5624,FALSE,2,0.12446127404205501
5631,FALSE,2,0.34402635596110753
6011,FALSE,2,0.2792669568910448
6020,FALSE,2,0.26455146832668336
6064,FALSE,2,0.32474161722629524
6147,FALSE,2,0.05133901175673782
6154,FALSE,2,0.27416945272135246
6203,FALSE,2,0.15220859779714785
6228,FALSE,2,0.00747976725525615
6265,TRUE,2,0.2009944484576848
